"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NLE1",617.288886707481,0.881032213155747,0.159943667980722,5.50839069954267,3.62128976110653e-08,8.44348968195098e-06
"FERMT2",2190.20585047753,0.58754328000347,0.192089978021781,3.05868784022063,0.002223086617994,0.0333753276044213
"MGLL",1726.45680741094,0.678814765239605,0.194710359499004,3.48627965654328,0.000489788689295497,0.0119815860748404
"SEMA3A",131.336854652726,-1.40449683287623,0.388408580844194,-3.61602936223396,0.000299156458041333,0.00861683017034712
"CACNG4",245.408461289623,0.908510223240039,0.340395819972967,2.66898172636841,0.00760815894291344,0.0732517578055664
"ACTB",140104.083563134,0.583382053340563,0.0999944793769274,5.83414261442889,5.40678620883103e-09,1.81944949568882e-06
"SEC31B",31.642650472349,-1.54499596362273,0.475507876614416,-3.24914904590645,0.00115750811743008,0.0216985590980745
"MCM6",2859.67691785045,-0.352411581123301,0.0717858947298098,-4.9092037154335,9.14469458403805e-07,0.000108766682048253
"UNG",1220.84884765556,-0.676943554841837,0.187937849323632,-3.60195435500663,0.00031583382871229,0.00879171903130583
"SLC46A1",3525.04539669351,0.472621334604711,0.168148134026715,2.810743855948,0.00494271177027425,0.0566005860608459
"TRAF4",2353.25591098655,0.419324260379225,0.1557693019555,2.69195698456052,0.00710341065016532,0.0698046700429707
"MBNL3",2939.15005973482,-1.50227209919394,0.361702120468272,-4.15334059211223,3.27656491066928e-05,0.001674324669352
"RAP1GAP",319.972157930187,0.870339970991295,0.249567479586869,3.48739335923112,0.00048775339524408,0.0119529903981928
"ARHGEF1",1784.77106525545,0.6534590999658,0.134975105183571,4.84133054815606,1.28972628750976e-06,0.000144669541372131
"NFKB2",1843.16546633545,0.61175812794546,0.234141450266461,2.61277158422508,0.00898113040709058,0.0815751522229287
"IL4R",1955.71158390763,1.09469557510206,0.257381132444018,4.25320832458517,2.10729363983817e-05,0.00122676499362225
"USP33",980.473051114588,-0.352934747332528,0.139830609200435,-2.52401637488848,0.0116022524115381,0.0955109048460568
"APBB1IP",106.856679025776,-0.99097639166121,0.372490274885764,-2.66040876359825,0.00780458687788017,0.0746222350340351
"NAALAD2",66.9410520129558,-1.44552781326714,0.300156661926045,-4.81591114450526,1.46529720981621e-06,0.000159186658297908
"MCCC1",211.523425167063,-0.765417440798086,0.197264332948877,-3.88016135180632,0.000104387192994472,0.0039737223652343
"EDN1",139.57840718084,2.60206563574767,0.413292577839623,6.29594087885457,3.05540818327803e-10,1.56131358165507e-07
"SLC1A3",1215.63364385464,-0.547993974757016,0.189826190657844,-2.88681963673158,0.00389157242955996,0.048371193523098
"SMARCA2",2320.99268196614,-0.736531382504085,0.226927820030327,-3.24566367581399,0.00117177183322991,0.0219064173212373
"SESN1",331.282099175149,-1.09143606928611,0.269923204615868,-4.04350589583191,5.26578314448574e-05,0.00242173366814899
"CLDND1",1547.38677933172,0.460297688694698,0.131328066525953,3.50494529365308,0.000456701117232787,0.0113533429089383
"DLGAP4",1366.71001909168,0.475635863642736,0.162886634287837,2.92004230870313,0.00349983867673974,0.044793389817234
"ARG2",519.943376143366,-0.529119095607436,0.162080843604128,-3.26453813937307,0.00109642700633429,0.0208079826772961
"PTPRC",18.9129962725689,-2.09046551924731,0.608372506465027,-3.43616040671207,0.000590021525049984,0.0133232847481418
"STK17B",1030.76796358941,-0.783425003465972,0.179569467570455,-4.36279627080028,1.28410513335721e-05,0.000812697180042632
"LRP2",5467.3695596968,-1.28618624174692,0.276725455582159,-4.64787830610349,3.35366658066626e-06,0.000275419867937217
"GEMIN5",1221.39135482637,0.698096452263445,0.192431874582103,3.62775893432144,0.000285892002200376,0.00835688973381056
"BCKDHB",169.96288650843,-1.1331197940994,0.306055099353407,-3.70233920785278,0.000213620745412068,0.00683834205208886
"GRHL2",1088.90245506618,0.605003797576129,0.201402318441604,3.00395647010164,0.00266493450535724,0.0370883867407902
"NUFIP1",457.253330799145,0.29399951198253,0.111878461637966,2.62784728783543,0.00859270811838667,0.0794472832394726
"ZNF416",150.52479284469,0.35855298857482,0.142287560242029,2.51991803053567,0.0117382165914094,0.0962282675648698
